customer_id,kyc_status,kyc_risk_rating,annual_income,occupation,pep_flag,last_kyc_date
100001,VERIFIED,MEDIUM,110884.69,SALARIED,N,2025-02-22
100002,VERIFIED,MEDIUM,72986.39,SELF_EMPLOYED,N,2025-02-20
100003,VERIFIED,LOW,154553.06,SALARIED,N,2025-09-13
100004,VERIFIED,LOW,47508.25,SALARIED,N,2025-06-30
100005,VERIFIED,LOW,65310.7,SALARIED,N,2026-02-18
100006,VERIFIED,LOW,55189.43,RETIRED,N,2025-12-06
100007,PENDING,LOW,245507.84,STUDENT,N,2026-08-07
100008,VERIFIED,LOW,43883.89,STUDENT,N,2025-04-20
100009,VERIFIED,MEDIUM,152823.24,SALARIED,N,2025-06-23
100010,VERIFIED,LOW,27277.65,SELF_EMPLOYED,N,2026-07-24
100011,VERIFIED,MEDIUM,70627.8,STUDENT,N,2026-08-27
100012,VERIFIED,MEDIUM,58803.97,SALARIED,N,2026-04-05
100013,VERIFIED,LOW,34078.81,SALARIED,N,2026-10-01
100014,VERIFIED,MEDIUM,42963.38,SALARIED,N,2025-03-08
100015,VERIFIED,MEDIUM,91765.69,STUDENT,N,2026-09-20
100016,VERIFIED,MEDIUM,53172.59,SALARIED,N,2025-05-12
100017,VERIFIED,LOW,35335.15,SALARIED,N,2026-08-22
100018,VERIFIED,MEDIUM,118605.01,SELF_EMPLOYED,N,2025-02-03
100019,VERIFIED,LOW,65266.12,SALARIED,N,2026-08-16
100020,VERIFIED,LOW,82066.82,SALARIED,N,2026-07-11
100021,VERIFIED,HIGH,134667.84,SALARIED,N,2025-09-26
100022,VERIFIED,HIGH,180733.47,SELF_EMPLOYED,N,2025-05-31
100023,VERIFIED,LOW,14973.74,SALARIED,N,2025-03-02
100024,VERIFIED,LOW,61708.02,SELF_EMPLOYED,N,2026-09-21
100025,VERIFIED,HIGH,22247.88,SALARIED,N,2026-08-27
100026,VERIFIED,LOW,389234.61,SALARIED,N,2026-09-27
100027,VERIFIED,LOW,72983.46,SELF_EMPLOYED,N,2026-06-19
100028,EXPIRED,LOW,124561.48,SELF_EMPLOYED,N,2025-06-08
100029,VERIFIED,LOW,44019.19,SELF_EMPLOYED,N,2026-05-19
100030,VERIFIED,LOW,52521.16,SALARIED,N,2026-08-25
100031,VERIFIED,MEDIUM,135210.88,STUDENT,N,2026-05-20
100032,VERIFIED,LOW,92486.55,SELF_EMPLOYED,N,2025-08-18
100033,VERIFIED,LOW,196914.21,SALARIED,N,2025-12-31
100034,VERIFIED,LOW,38470.56,SALARIED,N,2025-08-05
100035,VERIFIED,MEDIUM,57426.86,SALARIED,N,2026-03-12
100036,VERIFIED,LOW,92368.36,PROFESSIONAL,N,2026-08-14
100037,VERIFIED,LOW,101996.71,SALARIED,N,2025-02-02
100038,VERIFIED,MEDIUM,86901.51,SELF_EMPLOYED,N,2026-01-22
100039,VERIFIED,MEDIUM,28000.34,STUDENT,N,2025-07-27
100040,VERIFIED,LOW,35856.67,SELF_EMPLOYED,N,2026-03-22
100041,VERIFIED,MEDIUM,82623.47,SALARIED,N,2025-10-18
100042,VERIFIED,LOW,24266.12,RETIRED,N,2025-09-27
100043,EXPIRED,LOW,37200.55,SELF_EMPLOYED,N,2025-06-10
100044,VERIFIED,MEDIUM,67796.04,SALARIED,N,2025-12-06
100045,VERIFIED,LOW,39956.22,SALARIED,N,2025-11-25
100046,PENDING,LOW,76805.65,SALARIED,N,2026-05-19
100047,VERIFIED,HIGH,62427.12,SALARIED,N,2025-07-05
100048,VERIFIED,LOW,39643.78,SALARIED,N,2025-04-21
100049,PENDING,MEDIUM,40258.53,PROFESSIONAL,N,2025-05-09
