experiment_id,customer_id,experiment_group,assignment_date,eligible_flag
PAY_CONFIRM_V2,107646,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,108130,CONTROL,2026-03-07,Y
PAY_CONFIRM_V2,101879,TREATMENT,2026-03-09,Y
PAY_CONFIRM_V2,102887,CONTROL,2026-03-11,Y
PAY_CONFIRM_V2,102349,CONTROL,2026-03-04,Y
PAY_CONFIRM_V2,100784,TREATMENT,2026-03-08,Y
PAY_CONFIRM_V2,102693,TREATMENT,2026-03-13,Y
PAY_CONFIRM_V2,108240,TREATMENT,2026-03-17,Y
PAY_CONFIRM_V2,100707,TREATMENT,2026-03-12,Y
PAY_CONFIRM_V2,108522,TREATMENT,2026-03-04,Y
PAY_CONFIRM_V2,100449,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,102550,TREATMENT,2026-03-11,Y
PAY_CONFIRM_V2,100908,CONTROL,2026-03-07,Y
PAY_CONFIRM_V2,107730,CONTROL,2026-03-23,Y
PAY_CONFIRM_V2,104597,CONTROL,2026-03-15,Y
PAY_CONFIRM_V2,104538,CONTROL,2026-03-13,Y
PAY_CONFIRM_V2,106714,CONTROL,2026-03-16,Y
PAY_CONFIRM_V2,101776,CONTROL,2026-03-15,Y
PAY_CONFIRM_V2,100558,CONTROL,2026-03-26,Y
PAY_CONFIRM_V2,102627,TREATMENT,2026-03-25,Y
PAY_CONFIRM_V2,106752,TREATMENT,2026-03-17,Y
PAY_CONFIRM_V2,101577,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,102985,CONTROL,2026-03-13,Y
PAY_CONFIRM_V2,108764,TREATMENT,2026-03-02,Y
PAY_CONFIRM_V2,108296,TREATMENT,2026-03-16,Y
PAY_CONFIRM_V2,100492,CONTROL,2026-03-21,Y
PAY_CONFIRM_V2,108755,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,102573,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,100278,CONTROL,2026-03-26,Y
PAY_CONFIRM_V2,104723,CONTROL,2026-03-09,Y
PAY_CONFIRM_V2,107212,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,106073,TREATMENT,2026-03-16,Y
PAY_CONFIRM_V2,100473,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,104795,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,103951,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,104778,CONTROL,2026-03-12,Y
PAY_CONFIRM_V2,105799,TREATMENT,2026-03-14,Y
PAY_CONFIRM_V2,109626,CONTROL,2026-03-05,Y
PAY_CONFIRM_V2,105109,CONTROL,2026-03-28,Y
PAY_CONFIRM_V2,100405,TREATMENT,2026-03-14,Y
PAY_CONFIRM_V2,105651,CONTROL,2026-03-11,Y
PAY_CONFIRM_V2,104228,TREATMENT,2026-03-27,Y
PAY_CONFIRM_V2,104231,CONTROL,2026-03-01,Y
PAY_CONFIRM_V2,106342,TREATMENT,2026-03-01,Y
PAY_CONFIRM_V2,106038,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,100844,TREATMENT,2026-03-17,Y
PAY_CONFIRM_V2,107877,CONTROL,2026-03-30,Y
PAY_CONFIRM_V2,101101,TREATMENT,2026-03-28,Y
PAY_CONFIRM_V2,106218,CONTROL,2026-03-14,Y
PAY_CONFIRM_V2,104566,TREATMENT,2026-03-13,Y
PAY_CONFIRM_V2,106331,TREATMENT,2026-03-28,Y
PAY_CONFIRM_V2,107271,CONTROL,2026-03-02,Y
PAY_CONFIRM_V2,108021,TREATMENT,2026-03-10,Y
PAY_CONFIRM_V2,104734,TREATMENT,2026-03-04,Y
PAY_CONFIRM_V2,105853,CONTROL,2026-03-18,Y
PAY_CONFIRM_V2,103583,TREATMENT,2026-03-02,Y
PAY_CONFIRM_V2,109478,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,102308,TREATMENT,2026-03-19,Y
PAY_CONFIRM_V2,109166,TREATMENT,2026-03-25,Y
PAY_CONFIRM_V2,106603,CONTROL,2026-03-17,Y
PAY_CONFIRM_V2,107172,CONTROL,2026-03-03,Y
PAY_CONFIRM_V2,100772,TREATMENT,2026-03-06,Y
PAY_CONFIRM_V2,108216,CONTROL,2026-03-25,Y
PAY_CONFIRM_V2,106969,TREATMENT,2026-03-03,Y
PAY_CONFIRM_V2,109755,TREATMENT,2026-03-30,Y
PAY_CONFIRM_V2,101175,TREATMENT,2026-03-24,Y
PAY_CONFIRM_V2,105824,CONTROL,2026-03-25,Y
PAY_CONFIRM_V2,105580,CONTROL,2026-03-24,Y
PAY_CONFIRM_V2,105052,TREATMENT,2026-03-22,Y
PAY_CONFIRM_V2,106348,TREATMENT,2026-03-29,Y
PAY_CONFIRM_V2,106177,TREATMENT,2026-03-05,Y
PAY_CONFIRM_V2,104951,TREATMENT,2026-03-04,Y
PAY_CONFIRM_V2,104024,TREATMENT,2026-03-28,Y
PAY_CONFIRM_V2,105666,TREATMENT,2026-03-04,Y
PAY_CONFIRM_V2,101134,CONTROL,2026-03-12,Y
PAY_CONFIRM_V2,103593,CONTROL,2026-03-02,Y
PAY_CONFIRM_V2,107253,TREATMENT,2026-03-28,Y
PAY_CONFIRM_V2,102532,CONTROL,2026-03-27,Y
PAY_CONFIRM_V2,102059,CONTROL,2026-03-27,Y
PAY_CONFIRM_V2,100136,TREATMENT,2026-03-18,Y
PAY_CONFIRM_V2,100395,CONTROL,2026-03-13,Y
PAY_CONFIRM_V2,107664,TREATMENT,2026-03-11,Y
