alert_id,transaction_id,alert_timestamp,alert_type,alert_score,investigation_status,confirmed_fraud_flag,investigator_id
9000001,1000015,2026-02-12 05:07:12,GEO_ANOMALY,55.45,ESCALATED,N,INV0081
9000002,1000066,2026-03-19 18:45:04,RISK_SCORE,36.55,CLOSED,Y,INV0052
9000003,1000069,2026-03-11 15:42:22,VELOCITY,56.59,CLOSED,Y,INV0047
9000004,1000084,2026-04-14 23:57:46,VELOCITY,54.01,OPEN,Y,INV0100
9000005,1000086,2026-04-10 12:07:44,GEO_ANOMALY,62.62,CLOSED,Y,INV0017
9000006,1000096,2026-05-20 16:30:57,VELOCITY,22.78,OPEN,N,INV0069
9000007,1000108,2026-07-30 21:08:06,GEO_ANOMALY,56.66,OPEN,N,INV0059
9000008,1000113,2026-02-19 03:50:45,VELOCITY,50.64,OPEN,N,INV0040
9000009,1000122,2026-04-19 00:25:43,DEVICE_MISMATCH,11.46,ESCALATED,N,INV0084
9000010,1000159,2026-02-03 03:36:52,DEVICE_MISMATCH,37.41,ESCALATED,N,INV0017
9000011,1000174,2026-06-12 03:24:16,VELOCITY,59.38,CLOSED,N,INV0075
9000012,1000181,2026-01-16 05:52:59,DEVICE_MISMATCH,54.75,OPEN,N,INV0070
9000013,1000200,2026-06-29 19:59:58,RISK_SCORE,37.28,CLOSED,N,INV0008
9000014,1000205,2026-07-12 15:42:20,GEO_ANOMALY,54.31,CLOSED,N,INV0079
9000015,1000229,2026-02-25 02:25:36,DEVICE_MISMATCH,83.02,CLOSED,N,INV0076
9000016,1000243,2026-05-31 03:10:22,VELOCITY,23.85,OPEN,N,INV0042
9000017,1000250,2026-02-10 04:26:58,HIGH_VALUE,95.54,CLOSED,N,INV0065
9000018,1000259,2026-05-20 20:12:58,RISK_SCORE,39.96,OPEN,N,INV0063
9000019,1000263,2026-05-22 16:05:15,DEVICE_MISMATCH,66.55,OPEN,N,INV0002
9000020,1000273,2026-05-22 00:40:23,GEO_ANOMALY,0.0,CLOSED,N,INV0037
9000021,1000274,2026-08-16 10:27:24,DEVICE_MISMATCH,24.21,CLOSED,N,INV0015
9000022,1000283,2026-03-27 18:35:47,HIGH_VALUE,24.91,CLOSED,Y,INV0017
9000023,1000294,2026-06-19 14:59:36,DEVICE_MISMATCH,0.0,OPEN,N,INV0032
9000024,1000335,2026-03-04 10:04:20,VELOCITY,37.23,CLOSED,N,INV0021
9000025,1000336,2026-04-27 17:21:38,VELOCITY,35.77,CLOSED,N,INV0035
9000026,1000338,2026-03-30 21:16:34,HIGH_VALUE,49.53,CLOSED,N,INV0051
9000027,1000369,2026-02-15 22:03:50,VELOCITY,39.91,OPEN,Y,INV0024
9000028,1000376,2026-01-08 06:27:59,VELOCITY,59.02,CLOSED,N,INV0001
9000029,1000385,2026-01-13 10:55:28,RISK_SCORE,39.12,ESCALATED,N,INV0067
9000030,1000410,2026-03-08 10:10:36,RISK_SCORE,7.25,OPEN,Y,INV0030
9000031,1000435,2026-05-05 16:56:20,VELOCITY,69.82,OPEN,Y,INV0034
9000032,1000437,2026-08-15 05:33:18,HIGH_VALUE,49.17,OPEN,N,INV0082
9000033,1000497,2026-04-15 00:23:04,VELOCITY,10.71,OPEN,N,INV0084
9000034,1000500,2026-05-27 06:38:09,DEVICE_MISMATCH,30.95,ESCALATED,N,INV0072
