merchant_id,merchant_name,merchant_category,merchant_city,merchant_risk_rating
M0001,Merchant_0001,ELECTRONICS,Delhi,MEDIUM
M0002,Merchant_0002,RESTAURANT,Kolkata,LOW
M0003,Merchant_0003,GROCERY,Bangalore,LOW
M0004,Merchant_0004,ENTERTAINMENT,Delhi,LOW
M0005,Merchant_0005,UTILITIES,Delhi,LOW
M0006,Merchant_0006,FUEL,Delhi,MEDIUM
M0007,Merchant_0007,RESTAURANT,Hyderabad,LOW
M0008,Merchant_0008,TRAVEL,Bangalore,LOW
M0009,Merchant_0009,TRAVEL,Ahmedabad,MEDIUM
M0010,Merchant_0010,HEALTHCARE,Kolkata,LOW
M0011,Merchant_0011,E_COMMERCE,Bangalore,LOW
M0012,Merchant_0012,FUEL,Pune,LOW
M0013,Merchant_0013,UTILITIES,Hyderabad,LOW
M0014,Merchant_0014,RESTAURANT,Pune,LOW
M0015,Merchant_0015,EDUCATION,Chennai,LOW
M0016,Merchant_0016,HEALTHCARE,Chennai,LOW
M0017,Merchant_0017,FUEL,Kolkata,MEDIUM
M0018,Merchant_0018,TRAVEL,Bangalore,LOW
M0019,Merchant_0019,EDUCATION,Chennai,MEDIUM
M0020,Merchant_0020,GROCERY,Bangalore,LOW
M0021,Merchant_0021,E_COMMERCE,Chennai,MEDIUM
M0022,Merchant_0022,UTILITIES,Mumbai,LOW
M0023,Merchant_0023,ENTERTAINMENT,Chennai,LOW
M0024,Merchant_0024,ELECTRONICS,Delhi,MEDIUM
M0025,Merchant_0025,FUEL,Delhi,MEDIUM
M0026,Merchant_0026,E_COMMERCE,Delhi,LOW
M0027,Merchant_0027,RESTAURANT,Ahmedabad,HIGH
M0028,Merchant_0028,UTILITIES,Bangalore,MEDIUM
M0029,Merchant_0029,RESTAURANT,Mumbai,LOW
M0030,Merchant_0030,E_COMMERCE,Chennai,HIGH
M0031,Merchant_0031,HEALTHCARE,Ahmedabad,LOW
M0032,Merchant_0032,FUEL,Pune,LOW
M0033,Merchant_0033,RESTAURANT,Kolkata,LOW
M0034,Merchant_0034,ENTERTAINMENT,Kolkata,HIGH
M0035,Merchant_0035,TRAVEL,Bangalore,LOW
M0036,Merchant_0036,ELECTRONICS,Mumbai,LOW
M0037,Merchant_0037,E_COMMERCE,Kolkata,MEDIUM
M0038,Merchant_0038,GROCERY,Delhi,HIGH
M0039,Merchant_0039,E_COMMERCE,Mumbai,MEDIUM
M0040,Merchant_0040,HEALTHCARE,Bangalore,LOW
M0041,Merchant_0041,EDUCATION,Bangalore,LOW
M0042,Merchant_0042,HEALTHCARE,Pune,LOW
M0043,Merchant_0043,ELECTRONICS,Delhi,LOW
M0044,Merchant_0044,ENTERTAINMENT,Hyderabad,LOW
M0045,Merchant_0045,GROCERY,Bangalore,MEDIUM
M0046,Merchant_0046,HEALTHCARE,Pune,LOW
M0047,Merchant_0047,ENTERTAINMENT,Delhi,HIGH
M0048,Merchant_0048,UTILITIES,Hyderabad,LOW
M0049,Merchant_0049,GROCERY,Ahmedabad,LOW
M0050,Merchant_0050,EDUCATION,Delhi,MEDIUM
M0051,Merchant_0051,TRAVEL,Chennai,LOW
M0052,Merchant_0052,E_COMMERCE,Mumbai,LOW
M0053,Merchant_0053,FUEL,Mumbai,MEDIUM
M0054,Merchant_0054,TRAVEL,Ahmedabad,LOW
M0055,Merchant_0055,RESTAURANT,Hyderabad,HIGH
M0056,Merchant_0056,ELECTRONICS,Ahmedabad,LOW
M0057,Merchant_0057,E_COMMERCE,Kolkata,LOW
M0058,Merchant_0058,ENTERTAINMENT,Mumbai,LOW
M0059,Merchant_0059,TRAVEL,Hyderabad,LOW
M0060,Merchant_0060,FUEL,Chennai,LOW
M0061,Merchant_0061,FUEL,Pune,MEDIUM
M0062,Merchant_0062,RESTAURANT,Mumbai,LOW
M0063,Merchant_0063,RESTAURANT,Kolkata,LOW
M0064,Merchant_0064,RESTAURANT,Kolkata,LOW
M0065,Merchant_0065,TRAVEL,Hyderabad,MEDIUM
M0066,Merchant_0066,EDUCATION,Mumbai,LOW
M0067,Merchant_0067,UTILITIES,Hyderabad,LOW
M0068,Merchant_0068,EDUCATION,Ahmedabad,LOW
M0069,Merchant_0069,HEALTHCARE,Mumbai,LOW
M0070,Merchant_0070,TRAVEL,Mumbai,LOW
M0071,Merchant_0071,E_COMMERCE,Bangalore,MEDIUM
M0072,Merchant_0072,ENTERTAINMENT,Pune,LOW
M0073,Merchant_0073,HEALTHCARE,Kolkata,MEDIUM
M0074,Merchant_0074,ELECTRONICS,Ahmedabad,MEDIUM
M0075,Merchant_0075,GROCERY,Hyderabad,LOW
M0076,Merchant_0076,E_COMMERCE,Hyderabad,MEDIUM
M0077,Merchant_0077,ELECTRONICS,Chennai,LOW
M0078,Merchant_0078,UTILITIES,Delhi,LOW
M0079,Merchant_0079,RESTAURANT,Ahmedabad,MEDIUM
M0080,Merchant_0080,UTILITIES,Ahmedabad,LOW
M0081,Merchant_0081,TRAVEL,Ahmedabad,LOW
M0082,Merchant_0082,TRAVEL,Delhi,LOW
M0083,Merchant_0083,FUEL,Mumbai,LOW
M0084,Merchant_0084,ENTERTAINMENT,Mumbai,LOW
M0085,Merchant_0085,EDUCATION,Bangalore,LOW
M0086,Merchant_0086,E_COMMERCE,Bangalore,LOW
M0087,Merchant_0087,E_COMMERCE,Ahmedabad,LOW
M0088,Merchant_0088,ELECTRONICS,Chennai,LOW
M0089,Merchant_0089,EDUCATION,Hyderabad,LOW
M0090,Merchant_0090,FUEL,Kolkata,LOW
M0091,Merchant_0091,TRAVEL,Chennai,LOW
M0092,Merchant_0092,ELECTRONICS,Mumbai,MEDIUM
M0093,Merchant_0093,TRAVEL,Hyderabad,LOW
M0094,Merchant_0094,UTILITIES,Hyderabad,MEDIUM
M0095,Merchant_0095,HEALTHCARE,Hyderabad,LOW
M0096,Merchant_0096,GROCERY,Hyderabad,LOW
M0097,Merchant_0097,TRAVEL,Delhi,LOW
M0098,Merchant_0098,TRAVEL,Delhi,LOW
M0099,Merchant_0099,HEALTHCARE,Hyderabad,MEDIUM
M0100,Merchant_0100,UTILITIES,Delhi,LOW
M0101,Merchant_0101,GROCERY,Kolkata,MEDIUM
M0102,Merchant_0102,E_COMMERCE,Pune,MEDIUM
M0103,Merchant_0103,HEALTHCARE,Delhi,MEDIUM
M0104,Merchant_0104,FUEL,Chennai,LOW
M0105,Merchant_0105,E_COMMERCE,Mumbai,LOW
M0106,Merchant_0106,GROCERY,Mumbai,LOW
M0107,Merchant_0107,FUEL,Mumbai,LOW
M0108,Merchant_0108,HEALTHCARE,Pune,LOW
M0109,Merchant_0109,E_COMMERCE,Bangalore,LOW
M0110,Merchant_0110,GROCERY,Bangalore,LOW
M0111,Merchant_0111,ELECTRONICS,Ahmedabad,MEDIUM
M0112,Merchant_0112,TRAVEL,Bangalore,LOW
M0113,Merchant_0113,EDUCATION,Pune,LOW
M0114,Merchant_0114,ELECTRONICS,Mumbai,LOW
M0115,Merchant_0115,HEALTHCARE,Mumbai,MEDIUM
M0116,Merchant_0116,GROCERY,Ahmedabad,MEDIUM
M0117,Merchant_0117,ELECTRONICS,Mumbai,LOW
M0118,Merchant_0118,E_COMMERCE,Hyderabad,LOW
M0119,Merchant_0119,GROCERY,Chennai,LOW
M0120,Merchant_0120,GROCERY,Kolkata,MEDIUM
M0121,Merchant_0121,ENTERTAINMENT,Pune,LOW
M0122,Merchant_0122,ELECTRONICS,Pune,HIGH
M0123,Merchant_0123,E_COMMERCE,Hyderabad,MEDIUM
M0124,Merchant_0124,FUEL,Delhi,LOW
M0125,Merchant_0125,E_COMMERCE,Bangalore,LOW
M0126,Merchant_0126,EDUCATION,Kolkata,LOW
M0127,Merchant_0127,UTILITIES,Hyderabad,LOW
M0128,Merchant_0128,HEALTHCARE,Delhi,LOW
M0129,Merchant_0129,ENTERTAINMENT,Chennai,MEDIUM
M0130,Merchant_0130,ELECTRONICS,Ahmedabad,LOW
M0131,Merchant_0131,E_COMMERCE,Ahmedabad,LOW
M0132,Merchant_0132,HEALTHCARE,Bangalore,MEDIUM
M0133,Merchant_0133,ENTERTAINMENT,Delhi,HIGH
M0134,Merchant_0134,E_COMMERCE,Mumbai,LOW
M0135,Merchant_0135,ENTERTAINMENT,Delhi,LOW
M0136,Merchant_0136,FUEL,Hyderabad,MEDIUM
M0137,Merchant_0137,UTILITIES,Mumbai,LOW
M0138,Merchant_0138,EDUCATION,Ahmedabad,HIGH
M0139,Merchant_0139,RESTAURANT,Ahmedabad,LOW
M0140,Merchant_0140,HEALTHCARE,Chennai,LOW
M0141,Merchant_0141,TRAVEL,Pune,LOW
M0142,Merchant_0142,RESTAURANT,Ahmedabad,LOW
M0143,Merchant_0143,E_COMMERCE,Pune,LOW
M0144,Merchant_0144,FUEL,Pune,LOW
M0145,Merchant_0145,EDUCATION,Bangalore,LOW
M0146,Merchant_0146,GROCERY,Delhi,MEDIUM
M0147,Merchant_0147,UTILITIES,Pune,LOW
M0148,Merchant_0148,EDUCATION,Kolkata,LOW
M0149,Merchant_0149,HEALTHCARE,Ahmedabad,MEDIUM
M0150,Merchant_0150,E_COMMERCE,Ahmedabad,LOW
M0151,Merchant_0151,GROCERY,Chennai,LOW
M0152,Merchant_0152,EDUCATION,Bangalore,MEDIUM
M0153,Merchant_0153,EDUCATION,Pune,LOW
M0154,Merchant_0154,GROCERY,Kolkata,LOW
M0155,Merchant_0155,ELECTRONICS,Bangalore,LOW
M0156,Merchant_0156,EDUCATION,Pune,MEDIUM
M0157,Merchant_0157,RESTAURANT,Bangalore,LOW
M0158,Merchant_0158,FUEL,Chennai,MEDIUM
M0159,Merchant_0159,FUEL,Bangalore,LOW
M0160,Merchant_0160,ELECTRONICS,Mumbai,LOW
M0161,Merchant_0161,HEALTHCARE,Hyderabad,LOW
M0162,Merchant_0162,TRAVEL,Hyderabad,MEDIUM
M0163,Merchant_0163,GROCERY,Ahmedabad,LOW
M0164,Merchant_0164,ELECTRONICS,Mumbai,MEDIUM
M0165,Merchant_0165,EDUCATION,Delhi,MEDIUM
M0166,Merchant_0166,UTILITIES,Bangalore,HIGH
M0167,Merchant_0167,TRAVEL,Kolkata,LOW
M0168,Merchant_0168,EDUCATION,Bangalore,LOW
M0169,Merchant_0169,ENTERTAINMENT,Pune,LOW
M0170,Merchant_0170,E_COMMERCE,Kolkata,MEDIUM
M0171,Merchant_0171,E_COMMERCE,Hyderabad,MEDIUM
M0172,Merchant_0172,EDUCATION,Mumbai,MEDIUM
M0173,Merchant_0173,ELECTRONICS,Mumbai,MEDIUM
M0174,Merchant_0174,EDUCATION,Mumbai,LOW
