transaction_id,account_id,merchant_id,branch_id,transaction_date,amount,currency,channel,payment_type,status,failure_reason,processing_time_sec,device_id,ip_risk_score,transaction_risk_score,feature_version
1000001,503088,M0369,B003,2026-07-05 07:24:57,4678.62,INR,UPI,P2P,SUCCESS,,3.58,D0013733,58.83,11.57,NEW
1000002,502543,M0288,B004,2026-07-08 13:40:07,1319.25,INR,UPI,P2P,FAILED,AUTHENTICATION_FAILED,6.21,D0000342,0.86,41.24,NEW
1000003,501573,M0440,B008,2026-06-05 23:48:22,2110.57,INR,NETBANKING,BILLPAY,SUCCESS,,5.95,D0000507,29.42,40.37,NEW
1000004,500322,M0020,B007,2026-06-03 20:22:24,4364.1,INR,UPI,P2M,SUCCESS,,6.15,D0009877,55.34,32.85,NEW
1000005,511243,M0257,B017,2026-06-20 03:29:36,5155.41,INR,UPI,P2P,SUCCESS,,4.62,D0007128,8.85,28.25,OLD
1000006,509331,M0145,B013,2026-04-19 20:00:11,1704.67,INR,UPI,P2M,SUCCESS,,4.16,D0012286,35.43,44.44,OLD
1000007,509802,M0478,B012,2026-03-03 12:03:29,1485.55,INR,UPI,P2M,SUCCESS,,4.68,D0006594,46.7,20.62,NEW
1000008,508132,M0382,B014,2026-05-24 05:03:45,856.68,INR,CARD,P2M,SUCCESS,,4.01,D0000153,14.23,36.98,NEW
1000009,502881,M0321,B011,2026-02-22 08:27:00,2318.15,INR,CARD,P2M,SUCCESS,,5.15,D0000616,0.0,27.11,NEW
1000010,505662,M0150,B019,2026-04-09 03:21:42,656.19,INR,UPI,BILLPAY,FAILED,INSUFFICIENT_FUNDS,3.35,D0013291,16.98,43.54,NEW
1000011,505504,M0388,B004,2026-04-16 13:50:38,581.22,INR,NETBANKING,P2M,SUCCESS,,7.47,D0012879,60.56,26.61,OLD
1000012,503691,M0108,B015,2026-02-03 00:26:34,944.73,INR,UPI,P2M,SUCCESS,,4.69,D0011727,36.83,47.65,NEW
1000013,503569,M0402,B013,2026-02-12 09:54:17,3982.54,INR,CARD,P2P,SUCCESS,,3.81,D0012580,3.37,36.73,NEW
1000014,504787,M0446,B015,2026-01-18 16:44:36,2998.1,INR,UPI,P2P,SUCCESS,,4.05,D0006352,36.67,21.35,OLD
1000015,511264,M0192,B015,2026-02-12 04:16:18,2045.23,INR,UPI,P2M,SUCCESS,,5.18,D0003236,12.32,49.06,OLD
1000016,514411,M0475,B007,2026-06-03 11:44:14,7058.51,INR,CARD,P2P,SUCCESS,,5.59,D0003658,27.32,17.03,OLD
1000017,500435,M0069,B006,2026-01-29 12:54:33,609.78,INR,CARD,P2P,SUCCESS,,6.39,D0008357,24.13,37.73,NEW
1000018,500346,M0427,B011,2026-04-02 18:48:21,2463.07,INR,WALLET,P2M,SUCCESS,,6.84,D0006354,21.51,41.38,NEW
1000019,507820,M0462,B017,2026-07-09 20:40:11,45030.03,INR,UPI,BILLPAY,SUCCESS,,5.15,D0003953,62.76,22.95,OLD
1000020,510076,M0029,B020,2026-02-22 06:49:02,2600.65,INR,UPI,P2P,SUCCESS,,5.4,D0011582,18.16,31.93,NEW
1000021,511390,M0447,B011,2026-02-22 22:14:43,3702.17,INR,CARD,P2P,SUCCESS,,5.04,D0007548,34.56,3.72,OLD
1000022,500991,M0010,B014,2026-05-30 16:23:00,4468.56,INR,WALLET,P2M,SUCCESS,,3.2,D0010651,10.34,0.0,OLD
1000023,507609,M0260,B018,2026-03-05 08:25:55,7352.44,INR,UPI,P2M,SUCCESS,,5.65,D0002458,6.87,6.43,OLD
